Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
C133,"เมล็ดบัว, นึ่ง","Lotus, seeds, steamed",Prunus dulcis,-,10.3,0.5,-,-,10.1
C14,"ถั่วแขก, เมล็ดแห้ง, ดิบ","Snap bean, mature seeds, dried, raw",Phaseolus vulgaris,-,23.38,5.75,157,27.9,-
C15,"ถั่วเขียว, เมล็ดแห้ง, ดิบ","Mung bean, mature seeds, dried, raw",Vigna radiata,-,22.98,1.59,367,55.41,-
C16,"ถั่วแดง, เมล็ดแห้ง, ดิบ","Rice bean, mature seeds, red, dried, raw",Phaseolus calcaratus,-,22.91,2.2,-,-,26.1
C17,"ถั่วแดง, เมล็ดแห้ง, คั่ว","Rice bean (Tooa dang), seeds, roasted",Phaseolus calcaratus,-,24.39,1.87,-,-,26.6
C18,"ถั่วแดงหลวง, เมล็ดแห้ง, ดิบ","Kidney bean, mature seeds, red, dried, raw",Phaseolus vulgaris,-,20.37,1.87,-,-,26.6
C19,"ถั่วแดงอินเดีย, เมล็ดแห้ง, ดิบ","Red Indian bean, mature seeds, dried, raw",Phaseolus spp.,-,19.38,1.7,-,-,25.4
C2,งาขาว. คั่ว,"Sesame, seeds, white, roasted",Sesanum indicum,-,26.1,64.55,356,65.89,-
C20,"ถั่วเต็มกำ, เมล็ดแห้ง, สีต่างๆ, ดิบ","Rice bean, mature seeds, mixed colours, dried, raw",Phaseolus spp.,-,19.44,1.54,353,65.29,-
C21,"ถั่วเต็มกำ, เมล็ดแห้ง, สีแดง, ดิบ","Rice bean, mature seeds, red, dried, raw",Phaseolus spp.,-,19.64,1.5,354,65.36,-
C22,"ถั่วเต็มกำ, เมล็ดแห้ง, สีเหลือง, ดิบ","Rice bean, mature seeds, yellow, dried, raw",Phaseolus spp.,-,19.44,1.5,352,65.25,-
C23,"ถั่วเต็มกำ, เมล็ดแห้ง, สีเหลืองอมเขียว, ดิบ","Rice bean, mature seeds, yellow-green, dried, raw",Phaseolus spp.,-,19.24,1.6,352,65.24,-
C24,"ถั่วเน่า, แห้ง","Soybean, fermented (Tooa-nao), dried",Glycine max,-,45.09,24.83,-,-,18.4
C25,"ถั่วเน่า, สด","Soybean, fermented (Tooa-nao), fresh",Glycine max,-,17.9,6.6,167,9.1,-
C26,"ถั่วแปะยี, เมล็ดแห้ง, ดิบ","Hyacinth / lablab bean, mature seeds, dried, raw",Lablab Purpureus,-,31.1,0.8,350,54.7,-
C27,"ถั่วแปะยี, เมล็ดแห้ง, คั่ว","Hyacinth / lablab bean, mature seeds, roasted",Lablab Purpureus,-,29.2,2.9,371,56.9,-
C28,"ถั่วแปะยี, เมล็ดแห้ง, ทอด","Hyacinth / lablab bean, mature seeds, deep-fried",Lablab Purpureus,-,22.9,15.4,449,54.8,-
C29,"ถั่วเล็บมือนาง, เมล็ดแห้ง, ดิบ","Rice bean, mature seeds, dried, raw",-,-,18.1,1.21,345,65.32,-
C3,"งาดำ, ดิบ","Sesame, seeds, black, raw",Sesanum indicum,-,19.4,45.96,-,-,19.2
C30,"ถั่วเล็บมือนาง, เมล็ดแห้ง, คั่ว","Rice bean, mature seeds, roasted",-,-,20.4,1.3,359,66.4,-
C31,"ถั่วแระ, ดิบ","Soybean, young seeds, dried, raw",Glycine max,-,14.98,7.57,172,11.05,-
C33,"ถั่วเหลือง, เมล็ดแห้ง, ดิบ","Soybean, mature seed, dried, raw",Glycine max,-,35.87,18.11,-,-,21.9
C34,"ถั่วลันเตา, เมล็ดแห้ง, ดิบ","Pea, mature seeds, dried, raw",Pisum sativum,-,23.62,1,341,59.41,-
C35,"ถั่วลาย, เมล็ดแห้ง, ทั้งเปลือกหุ้ม, ดิบ","Butterfly pea, mature seeds, dried, raw",Centrosema pubescens,-,25.5,2.1,354,58.2,-
C36,"ถั่วลาย, เมล็ดแห้ง, แยกเปลือก, ดิบ","Butterfly pea, mature seeds, dehulled, dried, raw",Centrosema pubescens,-,26.6,2.2,353,56.65,-
C37,"ถั่วลิสง, เมล็ดแห้ง, รวมเยื่อหุ้มเมล็ด, ดิบ","Peanut, mature seeds, with seed coat, raw",Arachis hypogaea,-,24.79,45.85,-,-,19.7
C38,"ถั่วหรั่ง, ดิบ","Bambara groundnut, fresh, raw",Voandezia supterranea,-,8.4,3.8,180,28.13,-
C39,"ถั่วหรั่ง, ต้ม","Bambara groundnut, boiled",Voandezia supterranea,-,7.1,2.8,160,26.5,-
C4,"งาดำ, คั่ว","Sesame, seeds, black, roasted",Sesanum indicum,-,23.3,52.1,-,-,15.7
C40,"ฟองเต้าหู้, แช่น้ำ","Soybean sheet, soaked",Glycine max,-,11.63,7.69,-,-,1.7
C41,"ฟองเต้าหู้, แห้ง","Soybean sheet, dried",Glycine max,-,53.85,30.3,512,6.04,-
C43,เต้าเจี้ยวขาว,"Soybean paste (Tau-jieo), white",Glycine max,-,10.73,3.66,107,7.77,-
C44,เต้าเจี้ยวดำ,"Soybean paste (Tau-jieo), black",Glycine max,-,8.17,3.37,88,6.36,-
C45,"เต้าหู้, แห้ง","Soybean curd (tofu), dried",Glycine max,-,53.85,30.3,512,6.04,-
C46,"เต้าหู้ขาว, ชนิดแข็ง, บรรจุกล่อง","Soybean curd (tofu), white, firm-type, packed in a box",Glycine max,0.42,6.99,2.96,-,-,0.9
C47,"เต้าหู้ขาว, ชนิดอ่อน, บรรจุกล่อง","Soybean curd (tofu), white, soft-type, packed in a box",Glycine max,0.32,6.36,3.06,-,-,0.8
C48,"เต้าหู้ขาว, ชนิดแข็ง","Soybean curd (tofu), white, hard",Glycine max,-,12.89,7.19,-,-,4.8
C49,"เต้าหู้ขาว, ชนิดแข็ง, ชนิดแคลเซียมสูง","Soybean curd (tofu), white, hard, high calcium",Glycine max,-,10.86,5.71,103,2.1,-
C5,"ถั่วขาว, เมล็ดแห้ง, ดิบ","Catjang cowpea, mature seeds, white, dried, raw",Vigna unguiculata subsp. Cylindrica,-,22.45,2.32,352,60.3,-
C50,"เต้าหู้ขาว, ชนิดอ่อน, จากท้องตลาด","Soybean curd (tofu), white, soft",Glycine max,-,6.25,3.61,-,-,2.5
C51,"เต้าหู้ขาว, ชนิดอ่อน, บรรจุแบบหลอด","Soybean curd (tofu), white, soft, packed in a pouch",Glycine max,-,5.13,3.11,-,-,1.5
