Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
T13,"ก๋วยเตี๋ยวเส้นใหญ่, ราดหน้า, ไก่/หมู","Guay-teaw-rad-nah (Fried rice noodles with dark soy sauce, topped with fried chinese kale, chicken/pork and gravy)",-,-,2.95,5.55,-,12.3,-
T131,หมี่กรอบ,"Mee-krop (Rice noodles, deep fried, crispy)",-,-,2.9,29.4,-,-,-
T132,หมี่กะทิ,Mee-ka-thi (Rice noodles covered with tofu fried in coconut cream),-,-,3.9,6.6,-,-,-
T138,ขนมหม้อแกง-ถั่ว,"Ka-nom-moh-kaeng (mungbean custard, baked)",-,-,5.8,7.2,-,-,-
T139,ข้าวเหนียวมูล,"Khao-niao-moon (glutinous rice, steamed in coconut milk)",-,-,3.1,6.3,-,-,-
T140,ตะโก้แห้ว,Tako-haew (coconut pudding with water chestnut),-,-,0.7,5.7,-,-,-
T141,ทองหยอด,"Thong-yodd (golden dropped, egg yolk dropped in heavy syrup)",-,-,4.3,13.4,-,-,-
T150,วุ้นกะทิใบเตย,"Wun-ka-thi (Jelly with coconut cream, pandanus leaves flavoured)",-,-,0.6,5.3,-,-,-
T151,"ลูกตาล, เชื่อม",Toddy palm in heavy syrup,-,-,1.47,0.1,-,-,-
T153,"บะหมี่, ลูกชิ้น, น้ำ","Wheat noodle (Ba-mee), with meat ball and soup",-,-,4.3,2.44,-,-,-
T154,"เส้นเล็ก, เป็ด, น้ำ","Rice noodles, small size, with duck and soup",-,-,4.56,5.15,-,-,-
T156,ปาท่องโก๋,Pa-tong-ko (Deep-fried doughstick),-,-,4.38,25.67,-,-,-
T161,ขนมตาล,Ka-nom-taan (steamed toddy palm cake),-,-,2.14,0.94,-,-,-
T162,ขนมถ้วยฟู,"Ka-nom touy-fu (rice cake, fermented)",-,-,2,-,-,-,0
T163,ลอดช่องน้ำกะทิ,Lod-chong in coconut milk,-,-,0.79,3.64,-,-,-
T164,ซาหริ่ม,Sa-rim (mungbean thread in coconut milk),-,-,0.2,4.5,-,-,-
T166,ปอเปี๊ยะสด,"Spring roll, non-fried",-,-,4.99,5.57,-,-,-
T207,ข้าวหน้าเป็ดย่าง,"Rice, topped with roasted duck)",-,-,5.2,4.2,-,-,-
T208,ข้าวหมก (เฉพาะข้าว),Rice cooked with curry powder,-,-,3.33,3.13,-,33.53,-
T216,"น้ำซุป, ขาตั้งหมู","Soup, pork leg (without feet)",-,-,0.7,0.23,-,-,-
T217,"น้ำซุป, ไก่","Soup, chicken bone",-,-,0.71,1.5,23,-,0
T221,ปลาแนม,"Pla-nam ( Fish, shredded, mixed with slices of pork skin)",-,-,5.53,1.37,-,-,-
T231,"ส้มตำ, ไทย","Papaya salad, spicy, with dried shrimps and roasted peanuts (Som-tum Thai)",-,-,4.29,2.65,-,-,-
T238,ขนมครก,Ka-nom-khrok (coconut pudding),-,-,1.43,2.9,-,-,-
T240,ขนมจาก,"Ka-nom-jak (coconut meat mixed with black sticky rice flour and wrapped up with palm leaves, grilled)",-,-,3.37,20.9,-,-,-
T243,"ขนมจีบ, หมูสับ",Ka-nom-jeep-moo-sub (Chinese steamed minced pork dumplings),-,-,5.43,6.85,-,-,-
T246,ขนมเทียน,Ka-nom-tian (stuffed dough pyramid),-,-,5.2,6.6,-,-,-
T248,ขนมบ้าบิ่น,Ka-nom-ba-bin (mixture of glutinous rice flour and egg baked with grated coconut),-,-,3.3,12.08,-,62.4,-
T249,ขนมบัวลอย,Ka-nom-bua-loi (Thai glutinous rice dumplings in sweet coconut cream),-,-,1.25,2.4,-,-,-
T250,"ขนมเบื้อง, ครีม, ไส้เค็ม","Ka-nom-buang-cream-sai-khem (crispy rice flour sheet with cream, prawn and grated coconut filling)",-,-,4.53,6.9,-,-,-
T270,"มะตะบะ, ไส้กล้วย","Murtabak, banana",-,-,5.27,10.63,-,-,30.13
T271,"มะตะบะ, ไส้ผลไม้รวม","Murtabak, mixed fruits",-,-,5.53,6.57,-,-,43.37
T273,ลูกชุบ,Luk chup (fruit-shape desserts made of mung-bean flour with natural colouring),-,-,3.27,1.1,-,-,-
T275,วุ้นตาล,Toddy palm jelly,-,-,0.1,0.03,-,35,-
T285,แกงเขียวหวานหมู,"Curry, green, pork",-,-,6.3,6.2,-,-,2.9
T286,แกงขนุน,"Curry, young jackfruit",-,-,3.4,3.9,-,-,3.4
T287,แกงขี้เหล็ก (ใบและดอก),"Curry, cassia leaves and flowers",-,-,4.15,10.95,-,-,2.4
T288,แกงไตปลา,"Curry, fermented fish viscera, southern style",-,-,4.75,1.1,-,-,4.3
T289,แกงบอน,"Curry, Gaeng-bon",-,-,1.6,0.3,-,-,7.5
T290,แกงป่าฟักทองใส่หมู,"Curry, pumpkin with pork",-,-,5.6,0.8,-,47,-
T292,"แกงหอยขม, ภาคกลาง","Curry, river snail, central style",-,-,5.5,10,-,-,4.4
T293,"แกงหอยขม, ภาคอีสาน","Curry, river snail, northeastern style",-,-,5.4,0.3,-,-,5.1
T295,แกงอ่อมเนื้อ,"Soup, spicy (Gaeng Oom) with beef, northen style",-,-,3.5,3.6,-,-,2.1
T296,แกงอ่อมปลา,"Soup, spicy (Gaeng Oom) with fish, northen style",-,-,4.7,3.8,-,-,0
T3,ก๋วยจั๊บ,"Noodle sheets, soup with meat and tofu (Guay-jub)",-,-,4.55,3.67,-,-,-
T310,ข้าวซอยไก่,Northern Thai noodle with chicken curry soup,-,-,5.8,10.6,-,-,-
T311,เต้าคั่ว,Thai noodle salad (Tao Khao),-,-,3.9,5.8,-,23.8,-
T312,"เส้นหมี่, ผัดซีอิ้ว","Fried rice noodles (fine thread) with pork, egg and soysauce",-,-,2.4,2.1,-,33.9,-
T313,"กล้วยไข่, เชื่อม","Banana, boiled in syrup",-,-,1.2,1.8,-,-,-
T314,"กล้วย, เชื่อม","Banana, cooked in concentrated syrup",Musa sp.,-,0.8,1,-,-,-
T315,ขนมโก๋,Ka-nom-ko,-,-,4.7,11.4,-,75.82,-
T316,ขนมลา,Ka-nom-la,-,-,2.6,16.4,-,70.3,-
T318,"เฉาก๊วย, สูตรต่างๆ",Grass jelly (Chao kuai),Mesona chinensis,-,0.15,0,-,3.93,-
T319,เต้าฮวย,"Soybean curd, soft (Tau-huay)",Glycine max,-,1.74,3.02,-,9.98,-
T320,"เต้าฮวย, ชนิดแคลเซียมสูง","Soybean curd, soft (Tau-huay), high calcium",Glycine max,-,2.35,2.04,-,4.95,-
T36,"ขนมจีน, ซาวน้ำ, ภาคกลาง","Ka-nom-jeen-sow-nam (Fermented rice noodles, with pineapple, ground shrimp, garlic and coconut milk)",-,-,2.5,4.6,-,17.1,-
T37,"ขนมจีน, น้ำเงี้ยว, ภาคเหนือ","Ka-nom-jeen-nam-ngeaw (Fermented rice noodles, with minced pork/ beef/spareribs cooked in Thai herbs flavour soup)",-,-,4,3.55,-,-,-
T38,"ขนมจีน, น้ำพริก, ภาคกลาง","Ka-nom-jeen-nam-prik (Fermented rice noodles, topped with peanut curry)",-,-,3.1,4.6,-,20.7,-
T39,"ขนมจีน, น้ำยา","Ka-nom-jeen-nam-ya (Fermented rice noodles, topped with fish curry)",-,-,2.69,2.11,-,-,-
T397,ข้าวมัน (เฉพาะข้าว),Khao-mun (Rice cooked in chicken broth),-,-,3.07,3.47,-,-,-
T40,"ขนมจีน, น้ำยา, ปักษ์ใต้","Ka-nom-jeen-nam-ya pak-tai (Fermented rice noodles, topped with fish curry (without coconut milk), Southern style)",-,-,3.9,3,-,10.7,-
T41,ขนมผักกาด,"Ka-nom-pak-kad (Radish rice cake, fried with egg and mungbean sprout)",-,-,5.5,8.49,-,25.4,-
T44,ข้าวราดไข่พะโล้,Rice topped with egg in five spices soup,-,-,5.66,6.45,-,-,-
T45,ข้าวราดผัดเครื่องในใส่ขิง,Rice with stir-fried chicken organ and ginger,-,-,4.4,7.3,-,23.2,-
T51,ข้าวต้มหมู,Porridge rice with pork,-,-,4.19,1.09,-,-,-
T56,ข้าวผัดหมู,"Fried rice with pork, vegetable and egg",-,-,5.75,6.34,-,15.9,-
T60,ข้าวยำปักษ์ใต้,Khao-yum-pak-tai (Southern style rice salad: Rice with assorted vegetables served with southern fish sauce (Nam boo-doo)),-,-,3.8,3.5,-,-,-
T64,ข้าวหมูแดง,Rice with roasted pork and gravy,-,-,6.29,4.18,-,-,-
T68,"โจ๊ก, หมู",Porridge rice with minced pork,-,-,1.56,2.63,-,-,-
T7,"ก๋วยเตี๋ยว, เนื้อสับ","Rice noodles, topped with minced beef in gravy",-,-,3.5,4.1,-,15.2,-
T71,ซุปฟัก,"Soup, wax gourd",-,-,2.5,0,10,-,0
T73,ซุปหน่อไม้,"Bamboo shoot salad, northeastern style",-,-,2.8,0.53,-,4.3,-
T92,"บะหมี่, หมูแดง, น้ำ",Wheat noodle (Ba-mee) with roasted pork and soup,-,-,4.4,8.6,-,-,-
T97,"มักกะโรนี, หมู",Fried macaroni with pork,-,-,5.7,7,-,-,-
U10,มดแดง,Red ant,Oecophylla smaragdina,-,13.9,3.5,111,-,1.8
U11,แมลงกระชอน,Mole cricket,Gryllotalpa africana,-,15.4,6.3,130,-,2.9
U12,แมลงกุดจี่,Buffalo dung beetle,"Onitis sp, Copris sp.",-,17.2,4.3,124,-,5.9
U13,แมลงกินูน,June beetle,Anomala antigua,-,15.75,1.6,85,-,5
U14,แมลงดานา,Giant water bug,Lethocerus indicus,-,19.8,8.3,174,-,4.3
U15,แมลงตับเต่า,True water beetle,Cybister limbatus,-,21,7.1,166,-,6.6
U16,"รังนก, ในน้ำเชื่อม","Bird nest, in light syrup, beverage",-,9.1,0.4,0.03,60,-,0.3
U17,"หนอนไม้ไผ่, ดิบ",Bamboo caterpillar,Ompsisa fusidentalis,-,9.2,20.4,-,2.5,-
U18,"หนอนไม้ไผ่, ทอด","Bamboo caterpillar, deep-fried",Ompsisa fusidentalis,-,25.5,55.3,-,11,-
U19,ตัวต่อ,"Hornet, young",Vespa sp.,-,13.7,6.3,-,7.4,-
U2,"จิโปม, ทอด","Cricket, short tail, deep-fried",Brachytrypes sp.,-,35.07,44.58,-,0.93,-
U20,"สาหร่ายเกลียวทอง, แห้ง","Spirulina, dried",Spirulina sp,3.1,63.39,6.33,358,-,10.4
U21,"สาหร่ายเกลียวทอง, สด","Spirulina, fresh",Spirulina sp,-,7.54,0.84,37,-,4.1
U22,ซุปไก่สกัด,"Chicken essence, ready to drink",-,-,8.35,0,33,-,0
U25,ตั๊กแตนทอด,"Locust, deep-fried",-,-,32.93,46.17,-,15.35,-
U28,"ตัวต่อ, แก่","Hornet, mature",Vespa sp.,-,16.2,3.9,-,2.8,-
U29,"ตัวต่อ, อ่อน","Hornet, pupae",Vespa sp.,-,14.8,6.8,-,4.7,-
U3,จิ้งหรีด,Cricket,"Gryllus bimarculatus, Degeer",-,15.75,5.75,125,-,3.5
U30,จั๊กจั่น,Cicada,Meimuna opalifera,-,20.6,3.63,-,4.54,-
U32,"ตั๊กแตนปาทังก้า, ทอด","Bombay locust, deep-fried",Patanga succinta,-,39.8,31.4,-,8.6,-
U34,แมงป่อง,Scorpion,Appendicula floribunda,-,24.7,2.15,128,-,0
U35,"เทา/ตะไคร่น้ำ/สาหร่ายน้ำจืด, ดิบ","Fresh-water algae, raw",Spirogyra sp.,-,0.41,0.17,-,-,-
U38,"นมผึ้ง, สด","Royal jelly, fresh",-,12.4,14.6,0.1,136,-,0
U39,"นมผึ้ง, ผง","Royal jelly, powder",-,26.95,40.5,0.3,368,-,0
U4,ดักแด้ไหม,"Silk worm, pupae",Bombyx mori,-,12.15,6.95,124,-,2
U5,จิ้งโกร่ง,"Cricket, giant","Gryllus bimarculatus, Degeer",-,17.5,12,-,2.45,-
U6,ตัวเป้ง,"Red ant, young female",Oecophylla smaragdina,-,12.7,12.5,189,-,2.5
U7,ตั๊กแตนข้าว,Rice grasshopper,Hiroglyphus sp.,-,20.6,6.1,159,-,5
U8,ตั๊กแตนฝ้าย,"Locust, cyrtacanthacris",Cyrtacanthacris tatarica,-,14.3,3.3,97,-,4
Z060001,"มอลคิสท์ แครกเกอร์, มอลคิสท์",Cracker,พีที มาโยรา อินดาซ์ ทีบีเค ประเทศอินโดนีเซีย,14.81,7.41,14.81,-,74.07,2.6
Z060002,"มอลคิสท์ แครกเกอร์, มอลคิสท์",Cracker,พีที มาโยรา อินดาซ์ ทีบีเค ประเทศอินโดนีเซีย,13.89,8.33,16.67,-,72.22,2.8
Z060003,"โกลด์ฟิชเชดดา เบคสแน็ค แครกเกอร์, เปปเปอร์ริดจ์ฟาร์ม","Cracker, baked, cheddar cheese, fish shape",ประเทศสหรัฐอเมริกา / บริษัท เปปเปอร์ริดจ์ฟาร์ม จำกัด,0,10,16.67,-,66.67,-
Z060004,"มินิบัตเตอร์แครกเกอร์, ดอกบัว","Cracker, butter, mini",บริษัท ผลิตภัณฑ์อาหารศรีสยาม จำกัด,16.67,10,30,-,60,2.3
Z060005,"โรซี่ ชีส แครกเกอร์, อิมพิเรียล","Cracker, cheese",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,6.67,6.67,23.33,-,63.33,-
Z060006,"แครกเกอร์ รสชีส, ไฮไท","Cracker, cheese",บริษัท แฟมิลี่ ฟู้ดส์ จำกัด ประเทศเกาหลี,12.24,8.16,28.57,-,61.22,-
Z060007,"แครกเกอร์ผสมชีส, คาร์ส เม็ลท์","Cracker, cheese",ประเทศเนเธอร์แลนด์ ภายใต้การควบตุมของยูไนเต็ด บิสกิต,6.67,10,23.33,-,60,-
Z060008,"ชีส ริง แครกเกอร์ขนมอบกรอบรสชีส, โคโค่แลนด์","Cracker, cheese flavour, ring shape",มาเลเซีย,11,6,28,-,58,-
Z060009,"แครกเกอร์รสชีสเคลือบคาราเมลผสมสาหาร่ายญี่ปุ่น (ซอง), บิ๊กซี","Cracker, cheese, caramel - seaweed coated",บริษัท สยามฟู้ดส์อินดัสทรี้ จำกัด,16.67,6.67,23.33,-,63.33,2.3
Z060010,"เมจิกแครกเกอร์สอดไส้ครีม รสชีส, JACK' n JILL","Cracker, cheese, cream filling",บริษัท ยูอาร์ซี (ประเทศไทย) จำกัด,23.33,6.67,16.67,-,60,2.3
Z060011,"ไวท์ เช็ดด้า แคร็กเกอร์ (ขนมแครกเกอร์รสชีส), ชีส-อิท","Cracker, cheese, white Chedda",ประเทศสหรัฐอเมริกา / ลิบเกอร์ คอมพานิ-คานซัล ซิตี เบเกอร์รี่,0,6.67,26.67,-,63.33,-
Z060012,"ชีสแครกเกอร์ สอดไส้ครีมบัตเตอร์มิลค์, โฮมมี","Cracker, cheese, buttermilk cream filling",บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),33.33,6.67,20,-,73.33,-
Z060013,"แครกเกอร์สอดไส้ครีม รสชีส, มายช้อยส์","Cracker, cheese, cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,11.11,5.56,30.56,-,58.33,1.9
Z060014,"โรซี่ แครกเกอร์สอดไส้ครีม รสชีส, อิมพิเรียล","Cracker, cheese, cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,10,6.67,36.67,-,50,-
Z060015,"โรซี่ แครกเกอร์สอดไส้ครีม รสช็อกโกแลต, อิมพิเรียล","Cracker, chocolate cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,26.67,6.67,20,-,66.67,-
Z060016,"วอยซ์ รสครีมช็อกโกแลต, วอยซ์","Cracker, chocolate cream filling",บริษัท มอนเด นิชชิน (ประเทศไทย) จำกัด,18.75,9.38,0,-,68.75,-
Z060017,"แครกเกอร์เคลือบช็อกโกแลต สอดไส้ครีมรสช็อกโกแลต, วอยซ์ โอเวอร์โลด","Cracker, chocolate cream filling, chocolate coated",บริษัท มอนเด นิสชิน คอร์ปอเรชั่น ประเทศฟิลิปปินส์,40,8,24,-,68,-
Z060018,"ฟันไบท์ ช็อกโกแลตแคร็กเกอร์ สอดไส้ช็อกโกแลต, JACK' n JILL","Cracker, chocolate, chocolate filling",บริษัท ยูอาร์ซี (ประเทศไทย) จำกัด,33.33,7.41,18.52,-,66.67,2.6
Z060019,"แครกเกอร์ไส้ครีมรสโกโก้, ไวโอเลต","Cracker, cocoa cream filling",บริษัท เคซีจี คอร์ปอเรชั่น จำกัด,21.21,6.06,24.24,-,66.67,-
Z060020,"แครกเกอร์สอดไส้ครีมกาแฟ, อิมพิเรียล","Cracker, coffee cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,23.33,3.33,26.67,-,63.33,-
Z060021,"แครกเกอร์ไส้ครีมกาแฟ, บิ๊กซี","Cracker, coffee cream filling",บริษัท วาไรตี้ ฟู้ดส์ อินเตอร์เนชั่นแนล จำกัด,31.25,6.25,21.88,-,68.75,2.2
Z060022,"เบเกอร์ส ชอยส์ ครีมแครกเกอร์ส, อิมพิเรียล","Cracker, cream",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,0,10,13.33,-,70,2.3
Z060023,"แครกเกอร์สอดไส้ครีมชีส, อิมพิเรียล","Cracker, cream cheese filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,10,6.67,26.67,-,60,-
Z060024,"ครีมแครกเกอร์ รสดั้งเดิม, Huntley & Palmers","Cracker, cream, original",บริษัท กริฟฟินส์ ฟู้ดส์ ประเทศนิวซีแลนด์,2.59,10.37,13.7,-,68.89,-
Z060025,"แครกเกอร์สอดไส้ครีม กลิ่นนมข้นหวาน, ไวโอเลต","Cracker, creamy sweeten condensed milk flavoured filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,23.33,6.67,23.33,-,66.67,-
Z060026,"แครกเกอร์ไส้ครีม กลิ่นวนิลลา, ไวโอเลต","Cracker, creamy vanilla flavoured filling",บริษัท เคซีจี คอร์ปอเรชั่น จำกัด,26.67,3.33,26.67,-,66.67,-
Z060027,"แครกเกอร์สอดไส้ครีม 2 ชั้น รสช็อกโกแลต, วอยซ์","Cracker, double layer, chocolate cream filling",บริษัท มอนเด นิชชิน (ประเทศไทย) จำกัด,18.75,9.38,18.75,-,68.75,-
Z060028,"แครกเกอร์สอดไส้ครีม 2 ชั้น กลิ่นครีมมี่บัตเตอร์, วอยซ์","Cracker, double layer, creamy butter flavoured filling",บริษัท มอนเด นิสชิน (ประเทศไทย) จำกัด,20,8,24,-,68,2.8
Z060029,"แครกเกอร์สอดไส้ครีม 2 ชั้น กลิ่นครีมมี่บัตเตอร์, วอยซ์","Cracker, double layer, creamy butter flavoured filling",บริษัท มอนเด นิชชิน (ประเทศไทย) จำกัด,21.88,6.25,21.88,-,65.62,-
Z060030,"แครกเกอร์สอดไส้ครีม 2 ชั้น กลิ่นครีมมี่บัตเตอร์, วอยซ์","Cracker, double layer, creamy butter flavoured filling",บริษัท มอนเด นิสซิน (ประเทศไทย) จำกัด,21.88,6.25,21.88,-,65.62,-
Z060031,"แครกเกอร์สอดไส้ครีม 2 ชั้น กลิ่นสตรอเบอร์รี่, วอยซ์","Cracker, double layer, strawberry flavoured filling",บริษัท มอนเด นิสซิน (ประเทศไทย) จำกัด,34.38,6.25,21.88,-,68.75,-
Z060032,"แครกเกอร์สอดไส้ครีม รสเลม่อน, มายช้อยส์","Cracker, lemon flavoured cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,22.22,5.56,25,-,63.89,1.9
Z060033,"แครกเกอร์สอดไส้ครีม รสมะนาว, ริทซ์","Cracker, lemon flavoured cream filling",ประเทศอินโดนีเซีย / PT. KRAFT INDONESIA,22.22,3.7,25.93,-,66.67,0
Z060034,"โรซี่ แครกเกอร์สอดไส้ครีม รสเลม่อน, อิมพิเรียล","Cracker, lemon flavoured cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,26.67,3.33,30,-,63.33,-
Z060035,"แครกเกอร์สอดไส้ครีมนม, สวีตไทม์","Cracker, milk cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,18.52,7.41,29.63,-,62.96,-
Z060036,"โรซี่ แครกเกอร์สอดไส้ครีม รสนม, อิมพิเรียล","Cracker, milk cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,23.33,6.67,33.33,-,60,-
Z060037,"เปปปิโต แครกเกอร์ส-มิลค์ (แครกเกอร์รสนม), เปปปิโต","Cracker, milk flavour",ประเทศสาธารณรัฐประชาชนจีน,15.56,7.78,23.35,-,77.82,-
Z060038,"เปปปิโต แครกเกอร์ส-มิลค์ (แครกเกอร์รสนม), เปปปิโต","Cracker, milk flavour",ประเทศสาธารณรัฐประชาชนจีน,15.5,7.75,27.13,-,81.4,-
Z060039,"แครกเกอร์ รสนม, ไฮไท","Cracker, milk flavour",บริษัท แฟมิลี่ ฟู้ดส์ จำกัด ประเทศเกาหลี,18.52,7.41,25.93,-,62.96,-
Z060040,"แครกเกอร์สอดไส้ครีม รสนม, มายช้อยส์","Cracker, milk flavoured cream filling",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,19.44,5.56,27.78,-,61.11,0
Z060041,"แครกเกอร์สอดไส้ครีม 2 ชั้น รสนม, วอยซ์","Cracker, milk, double layer, cream filling",บริษัท มอนเด นิชชิน (ประเทศไทย) จำกัด,21.88,9.38,21.88,-,68.75,-
Z060042,"มินิแครกเกอร์ เอ.บี.ซี., มาร์วิน","Cracker, mini, alphabet shape",บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,15.15,6.06,15.15,-,60.61,3
Z060043,"บัตเตอร์ แครกเกอร์ รสเนยสด, ดอกบัว","Cracker, mini, butter flavour",บริษัท ผลิตภัณฑ์อาหารศรีสยาม จำกัด,13.33,6.67,23.33,-,66.67,3.3
Z060044,"มินิช็อกโก้ แครกเกอร์ ช็อกโกแลต, เอส.เค.","Cracker, mini, chocolate",บริษัท ศรีกรุง บิสกิต จำกัด,30,6.67,33.33,-,53.33,0
Z060045,"มินิแครกเกอร์สอดไส้ แยมสับปะรด, เอ็มแอนด์เค","Cracker, mini, pineapple jam filling",บริษัท วาไรตี้ ฟู้ดส์ อินเตอร์เนชั่นแนล จำกัด,36.67,3.33,11.67,-,76.67,2.3
Z060046,"แครกเกอร์ข้าวโอ๊ตกับลูกเกด, ไอเคโอ","Cracker, oat, raisin",วายแอลเอฟ แมนูแฟคเจอริง จำกัด ประเทศมาเลเซีย,18.52,11.11,18.52,-,66.67,7.4
Z060047,"แครกเกอร์ผสมน้ำมันมะกอก และใบโรสแมรี่, โคลุสซี่","Cracker, olive oil and rosemary",ประเทศอิตาลี / โคลสซี่ เอส พี เอ,1.94,11.11,13.89,-,72.22,-
Z060048,"แครกเกอร์ไส้ครีมส้ม, บิ๊กซี","Cracker, orange cream filling",บริษัท วาไรตี้ ฟู้ดส์ อินเตอร์เนชั่นแนล จำกัด,30.56,5.56,30.56,-,61.11,1.9
Z060049,"เทเบิล วอเตอร์ ออริจินอล (แครกเกอร์รสดั้งเดิม), คาร์ส","Cracker, orginal",ประเทศสหราชอาณาจักร ภายใต้การควบคุมของยูไนเต็ด บิสกิต,3.23,9.68,6.45,-,77.42,-
Z060050,"ออริจินัล สแน็ค แคร็กเกอร์ (ขนมแครกเกอร์รสดั้งเดิม), ชีส-อิท","Cracker, original",ประเทศสหรัฐอเมริกา / ลิบเกอร์ คอมพานิ-คานซัล ซิตี เบเกอร์รี่,-,6.67,26.67,-,56.67,-
Z060051,"แครกเกอร์ รสคลาสสิค, บิ๊กซี","Cracker, original",บริษัท สยามฟู้ดส์ อินดัสทรี้ จำกัด,10,6.67,20,-,66.67,2.3
Z060052,"แครกเกอร์ รสดั้งเดิม, อันปัน","Cracker, original",บริษัท มอนเด นิสซิน (ประเทศไทย) จำกัด,10,6.67,23.33,-,63.33,3.3
Z060053,"แครกเกอร์ รสดั้งเดิม, ไฮไท","Cracker, original",บริษัท แฟมิลี่ ฟู้ดส์ จำกัด ประเทศเกาหลี,8,8,28,-,60,-
Z060054,"เมจิกแครกเกอร์, JACK' n JILL","Cracker, original",บริษัท ยูอาร์ซี (ประเทศไทย) จำกัด,10,6.67,23.33,-,66.67,2.3
Z060055,"แครกเกอร์ รสปราปริก้า, บิ๊กซี","Cracker, paprika flavour",บริษัท สยามฟู้ดส์ อินดัสทรี้ จำกัด,10,10,20,-,66.67,2.3
Z060056,"เมจิกแครกเกอร์สอดไส้ครีม รสเนยถั่ว, JACK' n JILL","Cracker, peanut butter cream filling",บริษัท ยูอาร์ซี (ประเทศไทย) จำกัด,20,10,26.67,-,56.67,2.3
Z060057,"แครกเกอร์ ไส้สับปะรด, เอส.เค.","Cracker, pineapple filling",บริษัท ศรีกรุง บิสกิต จำกัด,23.53,5.88,14.71,-,70.59,2.1
Z060058,"แครกเกอร์ไส้แยมสับปะรด, บิ๊กซี","Cracker, pineapple jam filling",บริษัท วาไรตี้ ฟู้ดส์ อินเตอร์เนชั่นแนล จำกัด,36.67,3.33,11.67,-,76.67,2.3
Z060059,"แครกเกอร์ มันฝรั่ง, ไฮไท","Cracker, potato",บริษัท แฟมิลี่ ฟู้ดส์ จำกัด ประเทศเกาหลี,8.16,8.16,16.33,-,73.47,-
Z060060,"แครกเกอร์มันฝรั่งแผ่นบาง รสคลาสสิค, เนลี่","Cracker, potato, original",ประเทศจีน,13.33,6.67,23.33,-,66.67,-
Z060061,"แครกเกอร์มันฝรั่งแผ่นบาง รสสาหร่ายซอสญี่ปุ่น, เนลี่","Cracker, potato, seaweed and japanese sauce flavour",ประเทศจีน,13.33,6.67,26.67,-,63.33,-
Z060062,"แครกเกอร์มันฝรั่งแผ่นบาง รสซาวครีมและหัวหอม, เนลี่","Cracker, potato, sour cream and onion flavour",บริษัท เซียงชุน ฟูดส์ จำกัด ประเทศจีน,13.33,6.67,23.33,-,66.67,-
Z060063,"พัฟ แครกเกอร์, บิสชิน","Cracker, puff",บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),13.33,6.67,23.33,-,66.67,-
Z060064,"พัฟ แครกเกอร์, บิสชิน","Cracker, puff",บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),12,8,24,-,68,-
Z060065,"พัฟฟ์แซนวิชแคร็กเกอร์สอดไส้ครีมกลิ่นโยเกิร์ตสตรอเบอร์รี่ ผสมสตรอเบอร์รี่คริสตัลบีดส์, Yodutch","Cracker, puff, strawberry yoghurt cream filling",บริษัท สยามฟู้ดส์ อินดัสทรี้ จำกัด,26.67,6.67,30,-,60,10
Z060066,"ฮันท์เล่ย์ แอนด์ พาล์มเมอร์ส ครีมแครกเกอร์ โทสต์ ฌซซามิ (ครีมแครกเกอร์ รสงาคั่ว), ฮันท์เล่ย์ แอนด์ พาล์มเมอร์ส","Cracker, roasted sesame flavour",บริษัท กริฟฟินส์ ฟู้ด จำกัด ประเทศนิวซีแลนด์,2.59,12.22,14.81,-,64.07,-
Z060067,"แครกเกอร์ รสเค็ม, ไวโอเลต","Cracker, salted",บริษัท อิมพีเรียลเยนเนอรัลฟูดส์อินดัสทรี จำกัด,10,6.67,20,-,66.67,-
Z060068,"เปเปอร์ ติน แครกเกอร์ รสงา, มายช้อยส์","Cracker, sesame flavour",ประเทศอิสราเอล,2.8,12,10,-,68,-
